epoch;loss;lr;mean_squared_error;val_loss;val_mean_squared_error
0;0.06874911955378035;0.001;0.004296819967413812;0.018316289782524107;0.001144768138571332
1;0.018054191349891193;0.001;0.0011283869629934136;0.02032331426938375;0.001270207139896229
2;0.017670856354137263;0.001;0.0011044285184573055;0.017845534967879453;0.0011153459335522106
3;0.017545818166578547;0.001;0.001096613632041242;0.018204479881872734;0.0011377799809755137
4;0.017461712204998262;0.001;0.001091357017407733;0.017853486382712922;0.0011158429319038988
5;0.01690170051235902;0.001;0.0010563562818692604;0.01813403026511272;0.0011333768993305664
6;0.01713917442646466;0.001;0.0010711984046665429;0.017670754777888455;0.001104422144514198
7;0.016534527740849736;0.001;0.0010334079815564972;0.017175123995790877;0.001073445298243314
8;0.016815348163149075;0.001;0.0010509592591756301;0.017782773387928805;0.0011114233425663163
9;0.01631492953747511;0.001;0.0010196831095718633;0.016976449203987918;0.0010610280830102663
10;0.016453629831799814;0.001;0.0010283518682658802;0.016479278759409983;0.0010299549098514642
11;0.01613457167537458;0.001;0.001008410733438244;0.01669707658390204;0.0010435672806731115
12;0.016003598277702143;0.001;0.0010002248916926124;0.016358186739186445;0.0010223866353044286
13;0.015838878541335203;0.001;0.0009899299135564402;0.016335417826970417;0.0010209635938129699
14;0.016000881224151765;0.001;0.0010000550817175393;0.016933706030249594;0.0010583566278607275
15;0.016059993111054625;0.001;0.001003749568419727;0.01656420628229777;0.0010352629227175687
16;0.016049902806091206;0.001;0.0010031189279336677;0.016237801220268012;0.0010148625879082829
17;0.01608297667106646;0.001;0.0010051860428096629;0.016157129500061273;0.001009820583082425
18;0.01596978394347325;0.001;0.0009981115053514051;0.0165757373906672;0.0010359835713946572
19;0.015485626947657581;0.00025;0.0009678516873432193;0.01643293073090414;0.0010270582017255947
20;0.01513920431270411;0.00025;0.0009462002711779062;0.016400054981932043;0.0010250034645044555
21;0.01538131518224091;0.00025;0.000961332195086135;0.016120833453411858;0.0010075521170316885
